subclone_1,subclone_2,total_tumor,days
417.2401620413972,37.505664713241636,454.7458267546388,345
417.07942242802244,37.52504539713782,454.60446782516027,346
416.9465784749872,37.54658055684255,454.49315903182975,347
416.84110028701326,37.57023606899733,454.41133635601057,348
416.7626560299159,37.59600661708047,454.3586626469964,349
416.7112856015168,37.623900331239994,454.3351859327568,350
416.6870513348638,37.65392491318098,454.34097624804474,351
416.6900129446594,37.68608785881466,454.37610080347406,352
416.72022752726065,37.720396458258385,454.44062398551904,353
416.7777495606794,37.7568577958357,454.5346073565151,354
416.862630904582,37.79547875007628,454.65810965465823,355
416.9749208002895,37.83626599371595,454.81118679400544,356
417.11466587077774,37.87922599369669,454.99389186447445,357
417.28191012067697,37.92436501116665,455.2062751318436,358
417.4766949362722,37.97168910148011,455.44838403775236,359
417.6990590855032,38.021204114197516,455.72026319970075,360
417.9490387179643,38.072915693085456,456.02195441104976,361
418.22666736490436,38.12682927611668,456.353496641021,362
418.53197593922704,38.1829500954701,456.71492603469716,363
418.86499273549066,38.24128317753075,457.1062759130214,364
419.2257434299081,38.30183334288984,457.52757677279794,365
419.61425108034695,38.364605206344734,457.97885628669167,366
420.0305361263295,38.42960317689894,458.4601393032284,367
420.47461638903246,38.49683145776211,458.9714478467946,368
420.94650707128756,38.56629404635007,459.51280111763765,369
421.4462207575808,38.63799473428479,460.0842154918656,370
421.97376741405316,38.711937107394384,460.6857045214475,371
422.52915438850005,38.78812454571313,461.31727893421316,372
423.11238641037164,38.86656022348146,461.97894663385307,373
423.7234655907726,38.94724710914593,462.6707126999185,374
424.3623914224625,39.03018796535929,463.3925793878218,375
425.0291607798554,39.11538534898042,464.14454612883577,376
425.7237679190199,39.202841611074355,464.92660953009425,377
426.44620447767954,39.29255889691229,465.7387633745918,378
427.1964594752123,39.38453914597156,466.5809986211839,379
427.97451931265084,39.47878409193566,467.4533034045865,380
428.78036777268255,39.57529526269423,468.3556630353768,381
429.6139860196494,39.67407398034309,469.2880599999925,382
430.47535259954805,39.77512136118417,470.2504739607322,383
431.36444344002973,39.87843831572559,471.2428817557553,384
432.28123185040045,39.9840255486816,472.26525739908203,385
433.2256885216207,40.09188355897261,473.3175720805933,386
434.19778152630585,40.20201263972519,474.39979416603103,387
435.1974763187257,40.31441287827205,475.51188919699774,388
436.2247357348049,40.42908415615206,476.6538198909569,389
437.27951999212246,40.546026149110226,477.8255461412327,390
438.3617866899124,40.66523832709775,479.02702501701015,391
439.47149080906314,40.78671995427193,480.25821076333506,392
440.6085847121178,40.91047008899626,481.51905480111407,393
441.77301814327427,41.03648758384037,482.80950572711464,394
442.96473822838493,41.16477108558004,484.12950931396495,395
444.1836894749569,41.29531903519721,485.47900851015413,396
445.42981377215193,41.428129667879965,486.8579434400319,397
446.7030503907864,41.56320101302255,488.26625140380895,398
448.0033359833314,41.70053089422535,489.7038668775567,399
449.3306045839126,41.84011692929493,491.1707215132075,400
450.68478760831033,41.98195653024397,492.6667441385543,401
452.0658138539597,42.12604690329134,494.19186075725105,402
