subclone_1,subclone_2,subclone_3,total_tumor,days
147020.78444336582,2.781831049739077,25239.10137307655,172262.6676474921,126
148241.62734769308,2.6169916938848297,25245.097761114113,173489.34210050106,127
149472.45345888383,2.4631924791956146,25247.419028663036,174722.33568002607,128
150713.342250236,2.319721051736432,25246.00561662224,175961.66758790996,129
151964.3737625325,2.185886950656689,25240.798613819337,177207.35826330248,130
153225.62867584493,2.061031621145684,25231.74164667436,178459.43135414046,131
154497.18830953355,1.9445284144326074,25218.78087919973,179717.91371714772,132
155779.1346222473,1.8357825877865395,25201.865013000293,180982.8354178354,133
157071.55021192387,1.734231304516452,25180.945287273298,182254.22973050168,134
158374.51831578952,1.6393436339712082,25155.9754788084,183532.13313823187,135
159688.12281035926,1.5506205515395635,25126.911901987663,184816.58533289845,136
161012.4482114368,1.4675949386501623,25093.713408785567,186107.62921516103,137
162347.5796741145,1.389831582771542,25056.341388768997,187405.3108944663,138
163693.6029927734,1.3169271774121298,25014.759769097236,188709.67968904806,139
165050.6046010832,1.2485103221202452,24968.93501452199,190020.78812592733,140
166418.67157200238,1.1842415224840988,24918.83612738737,191338.69194091222,141
167797.891617778,1.1238131901317912,24864.434647629892,192663.450078598,142
169188.35313824288,1.0669512340893503,24805.705764716495,193995.12585419347,143
170590.1453700307,1.0134324560220123,24742.633339386794,195333.7921418735,144
172003.35790709153,0.9630620923354039,24675.20006332428,196679.52103250814,145
173428.08099159124,0.915653245802393,24603.392128857828,198032.38877369487,146
174864.40556959013,0.871026765914373,24527.200345042704,199392.47694139875,147
176312.4232910428,0.8290112488812622,24446.620137660575,200759.87243995228,148
177772.22650979814,0.7894430376315045,24361.651549219514,202134.66750205526,149
179243.90828359945,0.7521662218120686,24272.29923895398,203516.95968877524,150
180727.56237408434,0.7170326377884491,24178.57248282483,204906.85188954696,151
182223.28324678482,0.6839018686446648,24080.485173519333,206304.4523221728,152
183731.1660711271,0.652641244183261,23978.05582045114,207709.87453282243,153
185251.30672043186,0.6231258409253077,23871.30754976031,209123.2373960331,154
186783.8017719141,0.5952384821103995,23760.268104313294,210544.6651147095,155
188328.74850668313,0.5688697376966575,23644.96984370294,211974.28722012378,156
189886.24490974256,0.5439179243607274,23525.449744248504,213412.23857191543,157
191456.38966999046,0.5202891054977798,23401.749398995627,214858.6593580916,158
193039.28218021913,0.49789709122151127,23273.915017716354,216313.69509502672,159
194635.02253711526,0.47666343836414327,23141.997426909133,217777.49662746277,160
196243.71154431233,0.45651742273234613,23006.051996326973,219250.22005806206,161
197865.4510244501,0.437393982718434,22866.132052298875,220732.0204707317,162
199500.34328518974,0.4192383669586799,22722.30392292752,222223.06644648424,163
