subclone_1,subclone_2,subclone_3,subclone_4,total_tumor,days
15125.055138995891,23154.03955284216,8.536815455254722,23.377240164809937,38311.008747458116,94
15236.528607438184,23038.31240938756,7.719271694164176,21.643416149059416,38304.203704668966,95
15348.823756530177,22916.401819021783,6.985586477547666,20.050799051600418,38292.2619610811,96
15461.946700438226,22788.31457837563,6.327701576745055,18.5877555685855,38275.17673595919,97
15575.903600511067,22654.067907327397,5.737972888443758,17.24338210060832,38252.95286282751,98
15690.700665488028,22513.689619267243,5.20926362290135,16.007486851676862,38225.60703522984,99
15806.344151499043,22367.21812109716,4.734944303945557,14.870589829213475,38193.167806729354,100
15922.840362064637,22214.702413231,4.308892768974262,13.823922844054856,38155.67559090867,101
16040.195648095934,22056.202089594448,3.925494168955505,12.859429510452046,38113.182661369785,102
16158.416407894656,21891.78733762504,3.5796409684274826,11.969765246070438,38065.75315173419,103
16277.509087153123,21721.538938272162,3.2667329454985428,11.148297271989783,38013.46305564277,104
16397.480180031973,21545.547967373528,2.982916921386727,10.38910699879662,37956.40017132568,105
16518.336229210596,21363.91755555845,2.725760175379344,9.687183946498315,37894.66672889092,106
16640.08382192489,21176.764099873853,2.492906509897983,9.038147133243193,37828.37897544189,107
16762.7295946588,20984.214125309172,2.282107536279393,8.43787241125912,37757.66369991551,108
16886.280233414225,20786.404150085564,2.091253634932473,7.88248276187602,37682.658119896594,109
17010.742473711067,20583.48068565594,1.9183739553382733,7.36834829552587,37603.50988161787,110
17136.123100587192,20375.600236704926,1.7616364160499944,6.892086251742694,37520.37705995991,111
17262.428948598452,20162.9293011489,1.6193477046929872,6.450560999162577,37433.42815845121,112
17389.66690181868,19945.644370135957,1.489953277964753,6.040884035523649,37342.842109268124,113
17517.843893839683,19723.931928045942,1.3720373616349448,5.6604139876660975,37248.80827323493,114
17646.966907771246,19497.988452490426,1.2643229505453633,5.306756611532156,37151.526439823756,115
17777.04297757281,19268.017272174693,1.1657255257268502,4.9777599647647515,37051.20373523799,116
17908.07918818491,19034.225451461854,1.0755371358449461,4.671572531652206,36948.05174931427,117
18040.082669090323,18796.837951199443,0.9930795543738148,4.386585684921618,36842.30028552906,118
18173.06060123188,18556.0840607746,0.9177014143972317,4.121279799349983,36734.18364322023,119
18307.020217522113,18312.19631500469,0.848788425888038,3.87421808015896,36623.93953903284,120
18441.96880284326,18065.410494137308,0.7857633757081404,3.644046563014875,36511.80910691929,121
18577.913694047274,17815.96562385027,0.7280861276085117,3.429494114028717,36398.03689813918,122
18714.86227995579,17564.103975251608,0.6752536222291902,3.2293724297561397,36282.87088125938,123
18852.822001360153,17310.0710648796,0.62679987709928,3.042576037197461,36166.56244215405,124
