subclone_1,subclone_2,subclone_3,subclone_4,subclone_5,total_tumor,days
897.4466272981434,32299.088769489088,51771.35813514346,0.4236286675225992,11418.356328764976,96386.6734893632,95
900.4579445344077,32355.70594277875,51678.85680430005,0.38146009260353536,11407.975702291336,96343.37785399714,96
903.479380368508,32411.736962214007,51580.191918412085,0.3436084096123127,11397.016333597317,96292.76820300153,97
906.510971107534,32467.172248929746,51475.28044127361,0.3095767083849176,11385.47729279621,96234.75053081548,98
909.5527532330665,32522.002146950617,51364.0416284459,0.2789905134017236,11373.357789512012,96169.23330865499,99
912.6047634011763,32576.216923191037,51246.397027257466,0.25159778378749054,11360.657172879442,96096.12748451291,100
915.6670384424251,32629.80676745663,51122.27047708764,0.22726883592141417,11347.374931546323,96015.34648336894,101
918.7396153600439,32682.761805187714,50991.590833247654,0.20525780287204823,11333.510718194973,95926.80822979326,102
921.8225313295479,32735.072081028873,50854.28943164191,0.18507668026808408,11319.064333131058,95830.43345381165,103
924.915823700598,32786.72755775843,50710.29943016451,0.16695045793096808,11304.035715093518,95726.14547717498,104
928.0195299960347,32837.71813301878,50559.55893441668,0.1510000138968379,11288.424966293895,95613.87256373929,105
931.133687911878,32888.033639316374,50402.010997706784,0.1372421144165225,11272.23235241633,95493.54791946578,106
934.2583353173275,32937.66384402173,50237.603621050315,0.1255894139555422,11255.45830261756,95365.1096924209,107
937.3935102547621,32986.598449369434,50066.28975316988,0.11585045519410853,11238.103409526922,95228.50097277621,108
940.5392509397404,33034.82709245814,49888.02729049526,0.10772966902712429,11220.168429246354,95083.6697928085,109
943.6955957610007,33082.33934525055,49702.77907716331,0.10082737456418359,11201.654281350387,94930.56912689982,110
946.8625832804605,33129.12471457345,49510.512905018055,0.09463977912957183,11182.562048886157,94769.15689153726,111
950.0402522332171,33175.172642117686,49311.20151361064,0.08855897826226578,11162.892978373391,94599.39594531318,112
953.2286415275471,33220.472504438156,49104.82259019935,0.08187295571593331,11142.64847980442,94421.2540889252,113
956.427790233033,33265.01363301273,48891.36127566086,0.07487464302187437,11121.830140640319,94234.70771418996,114
959.6377375808615,33308.78530583383,48670.810450781966,0.06863198808009333,11100.439732355062,94039.7418585398,115
962.8585229773781,33351.77672626165,48443.16745000362,0.06297276774118322,11078.479189274716,93836.3448612851,116
966.0901859882323,33393.97705434877,48208.437063407015,0.05775441652321103,11055.950621798815,93624.51267995934,117
969.3327663382792,33435.37540702222,47966.63155662984,0.05287295861862139,11032.856316500802,93404.24891944978,118
972.5863039115792,33475.96085808341,47717.770670866244,0.04826300789423651,11009.198736128037,93175.56483199717,119
975.8508387513979,33515.722438208184,47461.88162286685,0.043897767891256344,10984.980519601788,92938.4793171961,120
979.1264110602066,33554.6491349468,47198.99910493878,0.03978903182525838,10960.204482017243,92693.01892199487,121
982.4130611996815,33592.7298927239,46929.16528494562,0.03598718258619781,10934.873614643499,92439.2178406953,122
985.7108296907047,33629.95361283858,46652.42980630745,0.03258119273840745,10908.991084923566,92177.11791495304,123
989.0197572133632,33666.30915346432,46368.84978800083,0.029698624520597697,10882.560236474368,91906.76863377739,124
992.3398845924123,33701.78534148447,46078.490486488045,0.027330143228517855,10855.584590205099,91628.22763291326,125
995.6712527763252,33736.37099028327,45781.42656705524,0.025176388724917603,10828.067847731616,91341.56183423517,126
999.0139028733707,33770.0548753522,45477.74030085051,0.023207818657638636,10800.013886183939,91046.84617307867,127
1002.3678761311678,33802.82575304815,45167.52216349598,0.02140742194182979,10771.42675707992,90744.16395717717,128
1005.7332139358164,33834.67236132012,44850.87086951064,0.019759619691321513,10742.310686354109,90433.60689074038,129
1009.1099578118971,33865.58341970923,44527.89337231031,0.018250265218625855,10712.670074357748,90115.27507445442,130
1012.4981494223377,33895.54762948905,44198.704862406405,0.01686664547549553,10682.509495817338,89789.2770037806,131
1015.8978305591918,33924.55368294514,43863.428700608005,0.015597542748498134,10651.833697416872,89455.72950907197,132
1019.309043141426,33952.59026638241,43522.19641473468,0.014432883700926432,10620.647597067953,89114.75775421018,133
1022.7318292140409,33979.64606400943,43175.147430134835,0.013363410181200993,10588.956281322611,88766.4949680911,134
1026.1662309450069,34005.709761568134,42822.42898572969,0.0123806862242492,10556.76500406173,88411.08236299078,135
1029.6122906243143,34030.77004736964,42464.196085232696,0.011439197779551396,10524.07918600398,88048.6690484284,136
1033.0700506589696,34054.81561865565,42100.611252967814,0.010542137328397054,10490.904412134578,87679.41187655435,137
